INFO 2021-05-04 11:35:32,826 autoreload 8365 140498019043136 Watching for file changes with StatReloader
DEBUG 2021-05-04 11:35:32,826 autoreload 8365 140498019043136 Waiting for apps ready_event.
DEBUG 2021-05-04 11:35:32,855 autoreload 8365 140498019043136 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-05-04 11:35:32,856 autoreload 8365 140498019043136 Watching dir /home/django/GAD/SiteGAD/SiteGAD/locale with glob **/*.mo.
DEBUG 2021-05-04 11:35:32,856 autoreload 8365 140498019043136 Watching dir /home/django/GAD/SiteGAD/SiteGAD/catalog/locale with glob **/*.mo.
DEBUG 2021-05-04 11:35:32,939 utils 8365 140497932683008 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2021-05-04 11:35:32,939 utils 8365 140497932683008 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2021-05-04 11:35:32,940 utils 8365 140497932683008 (0.001) SHOW FULL TABLES; args=None
DEBUG 2021-05-04 11:35:32,946 utils 8365 140497932683008 (0.002) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
DEBUG 2021-05-04 11:35:32,982 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/backends/utils.py first seen with mtime 1616747084.4589322
DEBUG 2021-05-04 11:35:32,982 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1616747084.6029322
DEBUG 2021-05-04 11:35:32,982 autoreload 8365 140498019043136 File /usr/lib/python3.6/wsgiref/__init__.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,982 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/backends/base/creation.py first seen with mtime 1616747084.4589322
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/forms/formsets.py first seen with mtime 1616747084.482932
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/backends/mysql/introspection.py first seen with mtime 1616747084.462932
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/__init__.py first seen with mtime 1616747084.4589322
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/pymysql/constants/COMMAND.py first seen with mtime 1616747975.3989668
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/utils/asyncio.py first seen with mtime 1616747084.4989321
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /usr/lib/python3.6/enum.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /usr/lib/python3.6/email/mime/nonmultipart.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/core/handlers/base.py first seen with mtime 1616747084.450932
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /usr/lib/python3.6/distutils/__init__.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/auth/base_user.py first seen with mtime 1616747084.170932
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/pymysql/constants/__init__.py first seen with mtime 1616747975.4029667
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1616747084.134932
DEBUG 2021-05-04 11:35:32,983 autoreload 8365 140498019043136 File /usr/lib/python3.6/wsgiref/handlers.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/auth/models.py first seen with mtime 1616747084.170932
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /usr/lib/python3.6/site.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/backends/mysql/creation.py first seen with mtime 1616747084.462932
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /usr/lib/python3.6/lib-dynload/_hashlib.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1616747084.2349322
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/models/signals.py first seen with mtime 1616747084.4749322
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/pymysql/constants/CLIENT.py first seen with mtime 1616747975.3989668
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/utils/cache.py first seen with mtime 1616747084.4989321
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /usr/lib/python3.6/subprocess.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/admin/models.py first seen with mtime 1616747084.038932
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/db/backends/base/base.py first seen with mtime 1616747084.4589322
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /usr/lib/python3.6/re.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/core/management/commands/runserver.py first seen with mtime 1616747084.4549322
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /usr/lib/python3.6/asyncio/base_futures.py first seen with mtime 1611675180.0
DEBUG 2021-05-04 11:35:32,984 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/core/management/__init__.py first seen with mtime 1616747084.4549322
DEBUG 2021-05-04 11:35:32,985 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/contrib/admin/options.py first seen with mtime 1616747084.038932
DEBUG 2021-05-04 11:35:32,985 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1616747084.6029322
DEBUG 2021-05-04 11:35:32,985 autoreload 8365 140498019043136 File /home/django/GAD/SiteGAD/lib/python3.6/site-packages/django/core/checks/security/csrf.py first seen with mtime 1616747084.450932
